,SEC_CODE,ABBREVIATED_NAME,GICS_SECTOR_CODE,SECTOR_CODE,SECTOR
786,CAB,CABCHARGE AUSTRALIA ,20200000,20,Industrials
787,CAD,CAENEUS MINERALS    ,15104000,15,Materials
788,CAE,CANNINDAH RESOURCES ,15104000,15,Materials
789,CAF,CENTREPOINT ALLIANCE,40200000,40,Financials
790,CAG,CAPERANGELTD        ,45100000,45,Information Technology
791,CAI,CALIDUS RESOURCES   ,15104000,15,Materials
792,CAJ,CAPITOL HEALTH      ,35100000,35,Health Care
793,CAM,CLIME CAPITAL       ,00000000,00,
794,CAN,CANN GROUP LTD      ,35200000,35,Health Care
795,CAP,CARPENTARIA RESOURCE,15104000,15,Materials
796,CAQ,CAQ HOLDINGS LTD    ,60100000,60,Real Estate
797,CAR,CARSALES.COM LTD.   ,50200000,50,Communication Services
798,CAS,CRUSADER RESOURCES  ,15104000,15,Materials
799,CAT,CATAPULT GRP INT LTD,45200000,45,Information Technology
800,CAU,CRONOS AUSTRALIA    ,35100000,35,Health Care
801,CAV,CARNAVALE RESOURCES ,15104000,15,Materials
802,CAX,COASSETS LIMITED    ,00000000,00,
803,CAY,CANYON RESOURCES LTD,15104000,15,Materials
804,CAZ,CAZALY RESOURCES    ,15104000,15,Materials
805,CB8,CBA DUMMY TORESS    ,99999999,99,N/A
806,CBA,COMMONWEALTH BANK.  ,40100000,40,Financials
807,CBB,BETA CANNABIS ETF   ,00000000,00,
808,CBC,CBG CAPITAL LIMITED ,00000000,00,
809,CBE,COBRE               ,15104000,15,Materials
810,CBH,COOLABAH METALS LIMI,15104000,15,Materials
811,CBK,CB AUST LTD         ,45100000,45,Information Technology
812,CBL,CONTROL BIONICS     ,35100000,35,Health Care
813,CBO,COBRAM ESTATE OLIVES,30200000,30,Consumer Staples
814,CBQ,COALBANK LIMITED    ,10100000,10,Energy
815,CBR,CARBON REVOLUTION   ,25100000,25,Consumer Discretionary
816,CBS,CABRAL RESOURCES LTD,15104000,15,Materials
817,CBT,CBT                 ,00000000,00,
818,CBY,CANTERBURY RESOURCES,15104000,15,Materials
819,CC2,CCOLA               ,99999999,99,N/A
820,CCA,CHANGE FINANCIAL LTD,45100000,45,Information Technology
821,CCB,CHINA CONSTRUCT BANK,00000000,00,
822,CCC,CONTINENTAL COAL LTD,10100000,10,Energy
823,CCE,CARNEGIE CLN ENERGY ,55100000,55,Utilities
824,CCF,CARBON CONSCIOUS LTD,20200000,20,Industrials
825,CCG,COMMS GROUP LTD     ,50100000,50,Communication Services
826,CCH,CIRCLE INT HLDGS LTD,00000000,00,
827,CCJ,COUNTY INTERNATIONAL,10100000,10,Energy
828,CCL,COCA-COLA AMATIL    ,30200000,30,Consumer Staples
829,CCP,CREDIT CORP GROUP   ,40200000,40,Financials
830,CCR,CREDIT CLEAR        ,45100000,45,Information Technology
831,CCV,CASH CONVERTERS     ,40200000,40,Financials
832,CCX,CITY CHIC COLLECTIVE,25500000,25,Consumer Discretionary
833,CCZ,CASTILLO COPPER LTD ,15104000,15,Materials
834,CD1,CD PRIVATE EQUITY I ,00000000,00,
835,CD2,CD PRIVATE EQUITY II,00000000,00,
836,CD3,CD PRIVATE EQUITYIII,00000000,00,
837,CDA,CODAN LIMITED       ,45200000,45,Information Technology
838,CDB,CONDOR BLANCO MINES ,15104000,15,Materials
839,CDC,CHINA DAIRY LTD     ,30200000,30,Consumer Staples
840,CDD,CARDNO LIMITED      ,20200000,20,Industrials
841,CDG,CLEVELAND MIN LTD   ,15104000,15,Materials
842,CDH,CHONGHERR INVESTMENT,15100000,15,Materials
843,CDM,CADENCE CAPITAL     ,00000000,00,
844,CDO,CDO OPPORTUNITY FUND,00000000,00,
845,CDP,CARINDALE PROPERTY  ,60101000,60,Real Estate
846,CDR,CODRUS MINERALS LTD ,15104000,15,Materials
847,CDT,CASTLE MINERALS     ,15104000,15,Materials
848,CDU,CUDECO LIMITED      ,15104000,15,Materials
849,CDV,CARDINAL RESO LTD   ,15104000,15,Materials
850,CDX,CARDIEX LIMITED     ,35100000,35,Health Care
851,CDY,CELLMID LIMITED     ,35200000,35,Health Care
852,CE1,CALIMA ENERGY       ,10100000,10,Energy
853,CEI,COMM MERCHANT SOL   ,00000000,00,
854,CEL,CHALLENGER EXP LTD  ,10100000,10,Energy
855,CEN,CONTACT ENERGY LTD  ,55100000,55,Utilities
856,CER,CENTRO RETAIL GROUP ,60100000,60,Real Estate
857,CET,VANECK CHINA A50    ,00000000,00,
858,CF1,COMPLII FINTECH LTD ,45100000,45,Information Technology
859,CFE,CAPE LAMBERT RES LTD,15104000,15,Materials
860,CFF,COMPAGNIE DE FINANCE,00000000,00,
861,CFH,CHINA FINANCE HLD   ,00000000,00,
862,CFM,CROMWELLFUNDSMANAGEL,00000000,00,
863,CFO,CFOAM LIMITED       ,20100000,20,Industrials
864,CFP,CREDIT SUISSE INT.  ,00000000,00,
865,CFU,CERAMIC FUEL CELLS  ,20100000,20,Industrials
866,CFW,CTG FIBERSWAY INTL  ,00000000,00,
867,CFY,Clifroy Ltd         , , ,
868,CG1,CARBONXT GROUP      ,15100000,15,Materials
869,CGA,CONTANGO ASSET      ,40200000,40,Financials
870,CGB,CANN GLOBAL LIMITED ,35200000,35,Health Care
871,CGC,COSTA GROUP HOLDINGS,30200000,30,Consumer Staples
872,CGF,CHALLENGER LIMITED  ,40200000,40,Financials
873,CGG,CITADEL RESOURCE GRP,15104000,15,Materials
874,CGH,CALIBRE GROUP LTD   ,20100000,20,Industrials
875,CGI,CONSOLIDATED GLOBAL ,15104000,15,Materials
876,CGL,THE CITADEL GRP     ,45100000,45,Information Technology
877,CGM,COUGAR METALS NL    ,15104000,15,Materials
878,CGN,CRATER GOLD MIN LTD ,15104000,15,Materials
879,CGO,CPT GLOBAL LIMITED  ,45100000,45,Information Technology
880,CGR,CML GROUP LTD       ,40200000,40,Financials
